id,lat,lng,x,y,index
1,-22.336061,-43.040024,731,122,0
3,-22.336021,-43.04004,731,121,1
2,-22.335733,-43.039803,733,118,2
1386,-22.33548,-43.03981,733,115,3
1385,-22.335556,-43.04003,731,116,4
1386,-22.33548,-43.03981,733,115,5
1400,-22.335405,-43.039585,736,114,6
1401,-22.335407,-43.039562,737,114,7
1402,-22.335327,-43.03924,740,113,8
1403,-22.334822,-43.039093,742,107,9
1404,-22.334173,-43.03851,749,98,10
1405,-22.334036,-43.037075,766,97,11
1406,-22.333637,-43.03578,781,92,12
1407,-22.333534,-43.03497,791,90,13
1408,-22.333874,-43.033962,802,95,14
1409,-22.334314,-43.0334,809,100,15
1410,-22.334476,-43.03296,814,102,16
1411,-22.334759,-43.03263,818,106,17
1412,-22.33515,-43.032448,820,111,18
1413,-22.335457,-43.032143,824,115,19
1412,-22.33515,-43.032448,820,111,20
1411,-22.334759,-43.03263,818,106,21
1410,-22.334476,-43.03296,814,102,22
1409,-22.334314,-43.0334,809,100,23
1408,-22.333874,-43.033962,802,95,24
1407,-22.333534,-43.03497,791,90,25
1406,-22.333637,-43.03578,781,92,26
1405,-22.334036,-43.037075,766,97,27
1404,-22.334173,-43.03851,749,98,28
1403,-22.334822,-43.039093,742,107,29
1402,-22.335327,-43.03924,740,113,30
1401,-22.335407,-43.039562,737,114,31
1400,-22.335405,-43.039585,736,114,32
1618,-22.335012,-43.03962,736,109,33
1619,-22.33445,-43.039997,732,102,34
1620,-22.333618,-43.040344,727,91,35
1621,-22.332804,-43.04041,727,81,36
1622,-22.332142,-43.04077,722,73,37
1623,-22.332056,-43.041348,716,72,38
1624,-22.331455,-43.041595,713,64,39
1625,-22.331055,-43.041336,716,59,40
1624,-22.331455,-43.041595,713,64,41
1623,-22.332056,-43.041348,716,72,42
1622,-22.332142,-43.04077,722,73,43
1621,-22.332804,-43.04041,727,81,44
1620,-22.333618,-43.040344,727,91,45
1619,-22.33445,-43.039997,732,102,46
1618,-22.335012,-43.03962,736,109,47
1400,-22.335405,-43.039585,736,114,48
1617,-22.335625,-43.03985,733,117,49
3,-22.336021,-43.04004,731,121,50
1,-22.336061,-43.040024,731,122,51
1384,-22.336105,-43.040066,731,123,52
1,-22.336061,-43.040024,731,122,53
4,-22.336563,-43.040516,725,129,54
5,-22.337048,-43.040558,725,135,55
6,-22.337593,-43.040913,721,142,56
7,-22.337954,-43.041367,715,146,57
8,-22.338184,-43.041115,718,149,58
1324,-22.338423,-43.040844,721,152,59
1323,-22.338432,-43.04083,722,152,60
1325,-22.337595,-43.04017,729,142,61
1326,-22.3374,-43.038425,750,139,62
1327,-22.338356,-43.037052,766,151,63
1328,-22.338541,-43.03619,776,154,64
325,-22.338402,-43.03589,779,152,65
324,-22.33826,-43.035587,783,150,66
2010,-22.337227,-43.03565,783,137,67
2011,-22.336527,-43.0341,801,128,68
2012,-22.33603,-43.033657,806,122,69
2011,-22.336527,-43.0341,801,128,70
2010,-22.337227,-43.03565,783,137,71
324,-22.33826,-43.035587,783,150,72
1655,-22.3384,-43.03531,787,152,73
1656,-22.338667,-43.035034,790,155,74
1657,-22.339003,-43.03444,797,160,75
1658,-22.339264,-43.034,802,163,76
1659,-22.34013,-43.033375,809,174,77
1660,-22.340649,-43.0327,817,181,78
1661,-22.34146,-43.03229,822,191,79
1662,-22.342102,-43.031574,830,199,80
1663,-22.342405,-43.030773,840,203,81
1662,-22.342102,-43.031574,830,199,82
1661,-22.34146,-43.03229,822,191,83
1660,-22.340649,-43.0327,817,181,84
1659,-22.34013,-43.033375,809,174,85
1658,-22.339264,-43.034,802,163,86
1657,-22.339003,-43.03444,797,160,87
1656,-22.338667,-43.035034,790,155,88
1655,-22.3384,-43.03531,787,152,89
324,-22.33826,-43.035587,783,150,90
325,-22.338402,-43.03589,779,152,91
1329,-22.337656,-43.034615,795,143,92
1330,-22.337702,-43.034077,801,143,93
1331,-22.338203,-43.032894,815,150,94
1332,-22.339052,-43.032207,823,160,95
1333,-22.339758,-43.031296,834,169,96
1334,-22.340424,-43.03063,841,178,97
1335,-22.340525,-43.029728,852,179,98
1336,-22.340487,-43.029583,854,178,99
1335,-22.340525,-43.029728,852,179,100
1334,-22.340424,-43.03063,841,178,101
1333,-22.339758,-43.031296,834,169,102
1332,-22.339052,-43.032207,823,160,103
1331,-22.338203,-43.032894,815,150,104
1330,-22.337702,-43.034077,801,143,105
1329,-22.337656,-43.034615,795,143,106
325,-22.338402,-43.03589,779,152,107
324,-22.33826,-43.035587,783,150,108
323,-22.33831,-43.035526,784,151,109
322,-22.33835,-43.035465,785,151,110
321,-22.338402,-43.035404,785,152,111
320,-22.33851,-43.035316,786,153,112
319,-22.338593,-43.035263,787,154,113
318,-22.33866,-43.03519,788,155,114
317,-22.338745,-43.035145,788,156,115
