id,lat,lng,x,y,index
1,-22.336061,-43.040024,731,122,0
4,-22.336563,-43.040516,725,129,1
5,-22.337048,-43.040558,725,135,2
6,-22.337593,-43.040913,721,142,3
7,-22.337954,-43.041367,715,146,4
8,-22.338184,-43.041115,718,149,5
10,-22.338566,-43.04174,711,154,6
8,-22.338184,-43.041115,718,149,7
1590,-22.338423,-43.040844,721,152,8
1643,-22.338718,-43.04045,726,156,9
1644,-22.339014,-43.04,731,160,10
1645,-22.339094,-43.039364,739,161,11
1646,-22.339157,-43.039135,742,162,12
1647,-22.339334,-43.038918,744,164,13
1648,-22.339582,-43.038506,749,167,14
2285,-22.339622,-43.038483,749,168,15
2286,-22.340075,-43.03808,754,173,16
2287,-22.340399,-43.03755,760,177,17
2288,-22.340607,-43.037155,765,180,18
2289,-22.340822,-43.036785,769,183,19
2290,-22.340908,-43.036705,770,184,20
2291,-22.341017,-43.036606,771,185,21
2599,-22.342575,-43.03561,783,205,22
2291,-22.341017,-43.036606,771,185,23
2290,-22.340908,-43.036705,770,184,24
2291,-22.341017,-43.036606,771,185,25
2290,-22.340908,-43.036705,770,184,26
2289,-22.340822,-43.036785,769,183,27
2288,-22.340607,-43.037155,765,180,28
2287,-22.340399,-43.03755,760,177,29
2286,-22.340075,-43.03808,754,173,30
2285,-22.339622,-43.038483,749,168,31
1648,-22.339582,-43.038506,749,167,32
1649,-22.339533,-43.038162,753,166,33
1650,-22.339458,-43.03773,758,165,34
1651,-22.33944,-43.037155,765,165,35
1652,-22.339556,-43.03679,769,167,36
1653,-22.339682,-43.03652,772,168,37
1654,-22.339792,-43.036186,776,170,38
1655,-22.33985,-43.035892,780,170,39
1656,-22.339895,-43.035843,780,171,40
1657,-22.339947,-43.03577,781,172,41
1656,-22.339895,-43.035843,780,171,42
1657,-22.339947,-43.03577,781,172,43
2551,-22.340801,-43.034863,792,182,44
2550,-22.341925,-43.03438,797,197,45
356,-22.341871,-43.03421,799,196,46
355,-22.341818,-43.034042,801,195,47
354,-22.341852,-43.034027,802,196,48
353,-22.34204,-43.03403,802,198,49
354,-22.341852,-43.034027,802,196,50
355,-22.341818,-43.034042,801,195,51
357,-22.341738,-43.034058,801,194,52
358,-22.341646,-43.034054,801,193,53
359,-22.34156,-43.03405,801,192,54
360,-22.341492,-43.034046,801,191,55
361,-22.341425,-43.034035,801,190,56
362,-22.341398,-43.034027,802,190,57
363,-22.34135,-43.034042,801,189,58
364,-22.341269,-43.03407,801,188,59
365,-22.341194,-43.03407,801,187,60
366,-22.341108,-43.034077,801,186,61
367,-22.341019,-43.034092,801,185,62
368,-22.340933,-43.034122,800,184,63
369,-22.340853,-43.034153,800,183,64
370,-22.340776,-43.03418,800,182,65
371,-22.34067,-43.034218,799,181,66
372,-22.340614,-43.03424,799,180,67
373,-22.340544,-43.03427,799,179,68
374,-22.340502,-43.034294,798,179,69
375,-22.340437,-43.034332,798,178,70
376,-22.340406,-43.034348,798,177,71
377,-22.34033,-43.03441,797,176,72
378,-22.340225,-43.034485,796,175,73
379,-22.340149,-43.034546,795,174,74
380,-22.340092,-43.034615,795,173,75
381,-22.340067,-43.034637,794,173,76
382,-22.34,-43.034683,794,172,77
383,-22.339922,-43.034737,793,171,78
384,-22.339844,-43.03477,793,170,79
385,-22.339777,-43.03479,793,169,80
386,-22.339748,-43.034805,792,169,81
387,-22.339678,-43.034836,792,168,82
388,-22.33961,-43.03487,792,167,83
389,-22.339577,-43.03489,791,167,84
390,-22.339521,-43.034924,791,166,85
391,-22.339426,-43.034893,791,165,86
392,-22.339354,-43.034878,792,164,87
393,-22.339268,-43.034874,792,163,88
394,-22.339226,-43.03487,792,162,89
395,-22.339197,-43.034885,791,162,90
396,-22.339092,-43.03494,791,161,91
397,-22.339064,-43.034954,791,160,92
398,-22.339018,-43.034977,790,160,93
399,-22.338987,-43.034996,790,159,94
400,-22.338896,-43.035034,790,158,95
401,-22.338808,-43.035084,789,157,96
402,-22.338745,-43.035145,788,156,97
403,-22.33866,-43.03519,788,155,98
404,-22.338593,-43.035263,787,154,99
405,-22.33851,-43.035316,786,153,100
406,-22.338402,-43.035404,785,152,101
407,-22.33835,-43.035465,785,151,102
408,-22.33831,-43.035526,784,151,103
409,-22.33826,-43.035587,783,150,104
411,-22.337666,-43.035404,785,142,105
12356,-22.33707,-43.03522,788,135,106
12355,-22.337017,-43.035175,788,134,107
12357,-22.337084,-43.03511,789,135,108
12358,-22.33707,-43.035,790,135,109
12359,-22.337059,-43.03488,792,135,110
12360,-22.337034,-43.034756,793,135,111
12361,-22.337011,-43.034634,794,134,112
12362,-22.336998,-43.034527,796,134,113
12363,-22.336967,-43.03443,797,134,114
12364,-22.33695,-43.03434,798,134,115
12365,-22.336943,-43.034206,799,134,116
12366,-22.336922,-43.033993,802,133,117
12367,-22.336893,-43.033787,804,133,118
12366,-22.336922,-43.033993,802,133,119
12365,-22.336943,-43.034206,799,134,120
12364,-22.33695,-43.03434,798,134,121
12363,-22.336967,-43.03443,797,134,122
12362,-22.336998,-43.034527,796,134,123
12361,-22.337011,-43.034634,794,134,124
12360,-22.337034,-43.034756,793,135,125
12359,-22.337059,-43.03488,792,135,126
12358,-22.33707,-43.035,790,135,127
12357,-22.337084,-43.03511,789,135,128
12355,-22.337017,-43.035175,788,134,129
12356,-22.33707,-43.03522,788,135,130
411,-22.337666,-43.035404,785,142,131
409,-22.33826,-43.035587,783,150,132
410,-22.338402,-43.03589,779,152,133
1595,-22.337656,-43.034615,795,143,134
1596,-22.337702,-43.034077,801,143,135
1597,-22.338203,-43.032894,815,150,136
1598,-22.339052,-43.032207,823,160,137
1599,-22.339758,-43.031296,834,169,138
1600,-22.340424,-43.03063,841,178,139
1601,-22.340525,-43.029728,852,179,140
1602,-22.340487,-43.029583,854,178,141
1601,-22.340525,-43.029728,852,179,142
1600,-22.340424,-43.03063,841,178,143
1599,-22.339758,-43.031296,834,169,144
1598,-22.339052,-43.032207,823,160,145
1597,-22.338203,-43.032894,815,150,146
1596,-22.337702,-43.034077,801,143,147
1595,-22.337656,-43.034615,795,143,148
410,-22.338402,-43.03589,779,152,149
409,-22.33826,-43.035587,783,150,150
2470,-22.337227,-43.03565,783,137,151
2471,-22.336527,-43.0341,801,128,152
2472,-22.33603,-43.033657,806,122,153
2471,-22.336527,-43.0341,801,128,154
2470,-22.337227,-43.03565,783,137,155
409,-22.33826,-43.035587,783,150,156
2007,-22.3384,-43.03531,787,152,157
2008,-22.338667,-43.035034,790,155,158
2009,-22.339003,-43.03444,797,160,159
2010,-22.339264,-43.034,802,163,160
2011,-22.34013,-43.033375,809,174,161
2012,-22.340649,-43.0327,817,181,162
2013,-22.34146,-43.03229,822,191,163
2014,-22.342102,-43.031574,830,199,164
2015,-22.342405,-43.030773,840,203,165
15422,-22.342426,-43.0308,839,203,166
15407,-22.34251,-43.030865,839,204,167
15408,-22.342543,-43.03086,839,205,168
15409,-22.342554,-43.03088,838,205,169
15410,-22.342625,-43.03098,837,206,170
15411,-22.342686,-43.030952,838,206,171
15412,-22.34273,-43.030914,838,207,172
15420,-22.342743,-43.030853,839,207,173
15421,-22.342688,-43.03086,839,206,174
15420,-22.342743,-43.030853,839,207,175
15413,-22.342785,-43.030888,838,208,176
15419,-22.342842,-43.030853,839,208,177
15414,-22.342865,-43.03088,838,209,178
15415,-22.342888,-43.030876,839,209,179
15416,-22.34294,-43.03088,838,210,180
15418,-22.34294,-43.03087,839,210,181
15416,-22.34294,-43.03088,838,210,182
15417,-22.343018,-43.030888,838,211,183
15416,-22.34294,-43.03088,838,210,184
15415,-22.342888,-43.030876,839,209,185
15414,-22.342865,-43.03088,838,209,186
15419,-22.342842,-43.030853,839,208,187
15413,-22.342785,-43.030888,838,208,188
15420,-22.342743,-43.030853,839,207,189
15412,-22.34273,-43.030914,838,207,190
15411,-22.342686,-43.030952,838,206,191
15410,-22.342625,-43.03098,837,206,192
15409,-22.342554,-43.03088,838,205,193
15408,-22.342543,-43.03086,839,205,194
15407,-22.34251,-43.030865,839,204,195
15422,-22.342426,-43.0308,839,203,196
2015,-22.342405,-43.030773,840,203,197
15423,-22.342356,-43.030758,840,202,198
15424,-22.342302,-43.03069,841,202,199
15425,-22.342289,-43.030663,841,201,200
15426,-22.342258,-43.0306,842,201,201
15427,-22.34223,-43.030533,843,201,202
15428,-22.342209,-43.030495,843,200,203
15429,-22.342178,-43.030422,844,200,204
15430,-22.342142,-43.0304,844,199,205
15431,-22.342117,-43.030483,843,199,206
15432,-22.342108,-43.03058,842,199,207
15433,-22.34211,-43.030643,841,199,208
15434,-22.342096,-43.03074,840,199,209
15435,-22.34211,-43.030807,839,199,210
15436,-22.342152,-43.030872,839,200,211
15437,-22.342163,-43.030895,838,200,212
15438,-22.342176,-43.03097,837,200,213
15439,-22.342186,-43.031055,836,200,214
15440,-22.342173,-43.03116,835,200,215
15441,-22.34216,-43.031223,834,200,216
15442,-22.342138,-43.031307,833,199,217
15451,-22.342203,-43.03138,833,200,218
15450,-22.34217,-43.03143,832,200,219
15449,-22.342146,-43.03148,831,200,220
15444,-22.342081,-43.031483,831,199,221
15445,-22.342064,-43.031525,831,198,222
15446,-22.342045,-43.03157,830,198,223
15448,-22.34198,-43.03164,830,197,224
15447,-22.341963,-43.031666,829,197,225
