id,lat,lng,x,y,index
1,-22.336061,-43.040024,731,122,0
3,-22.336021,-43.04004,731,121,1
2,-22.335733,-43.039803,733,118,2
1512,-22.33548,-43.03981,733,115,3
1511,-22.335556,-43.04003,731,116,4
1513,-22.335344,-43.040146,730,113,5
1514,-22.335272,-43.04053,725,112,6
1515,-22.3353,-43.040985,720,113,7
1516,-22.335108,-43.041965,708,110,8
1517,-22.334488,-43.04265,700,102,9
1518,-22.333942,-43.042847,698,95,10
1519,-22.333122,-43.042564,701,85,11
1520,-22.332401,-43.04259,701,76,12
2361,-22.330399,-43.043823,687,50,13
2362,-22.328762,-43.044945,673,30,14
9924,-22.328745,-43.045055,684,58,15
9923,-22.328678,-43.04509,685,57,16
9922,-22.32862,-43.045116,686,57,17
9921,-22.32854,-43.045128,686,56,18
9920,-22.32846,-43.045135,686,55,19
9919,-22.328367,-43.045124,686,54,20
9918,-22.32831,-43.04512,685,52,21
9917,-22.328266,-43.045135,685,50,22
9916,-22.328176,-43.04512,684,49,23
9915,-22.328127,-43.045128,683,48,24
9914,-22.32807,-43.04514,683,47,25
9913,-22.32797,-43.045166,682,46,26
9912,-22.32792,-43.04519,681,45,27
9911,-22.327858,-43.045204,681,44,28
9910,-22.3278,-43.045235,680,44,29
9909,-22.327747,-43.045242,679,43,30
9908,-22.3277,-43.045265,679,42,31
9907,-22.32753,-43.045246,678,41,32
9906,-22.327478,-43.045227,677,40,33
9905,-22.327366,-43.045227,677,39,34
9904,-22.327238,-43.045258,676,37,35
9903,-22.327206,-43.04527,675,36,36
9902,-22.327139,-43.045296,675,35,37
9901,-22.327085,-43.045296,674,35,38
9900,-22.32704,-43.045288,674,34,39
9899,-22.327,-43.04529,674,33,40
9898,-22.326962,-43.045296,673,32,41
9897,-22.32692,-43.0453,673,31,42
9896,-22.326855,-43.04528,672,30,43
9897,-22.32692,-43.0453,673,31,44
9898,-22.326962,-43.045296,673,32,45
9899,-22.327,-43.04529,674,33,46
9900,-22.32704,-43.045288,674,34,47
9901,-22.327085,-43.045296,674,35,48
9902,-22.327139,-43.045296,675,35,49
9903,-22.327206,-43.04527,675,36,50
9904,-22.327238,-43.045258,676,37,51
9905,-22.327366,-43.045227,677,39,52
9906,-22.327478,-43.045227,677,40,53
9907,-22.32753,-43.045246,678,41,54
9908,-22.3277,-43.045265,679,42,55
9909,-22.327747,-43.045242,679,43,56
9910,-22.3278,-43.045235,680,44,57
9911,-22.327858,-43.045204,681,44,58
9912,-22.32792,-43.04519,681,45,59
9913,-22.32797,-43.045166,682,46,60
9914,-22.32807,-43.04514,683,47,61
9915,-22.328127,-43.045128,683,48,62
9916,-22.328176,-43.04512,684,49,63
9917,-22.328266,-43.045135,685,50,64
9918,-22.32831,-43.04512,685,52,65
9919,-22.328367,-43.045124,686,54,66
9920,-22.32846,-43.045135,686,55,67
9921,-22.32854,-43.045128,686,56,68
9922,-22.32862,-43.045116,686,57,69
9923,-22.328678,-43.04509,685,57,70
9924,-22.328745,-43.045055,684,58,71
2362,-22.328762,-43.044945,673,30,72
9925,-22.328875,-43.04501,683,59,73
9926,-22.328941,-43.04498,683,60,74
9927,-22.32902,-43.044937,682,61,75
9928,-22.329147,-43.04486,681,62,76
9929,-22.329208,-43.044815,680,62,77
9930,-22.32926,-43.04478,678,61,78
9931,-22.32931,-43.044743,678,60,79
9932,-22.32937,-43.0447,677,59,80
9933,-22.329462,-43.04465,676,58,81
9934,-22.329483,-43.044636,675,57,82
9935,-22.329617,-43.044556,674,55,83
9936,-22.329712,-43.044487,673,54,84
9937,-22.329777,-43.04444,672,53,85
9938,-22.329851,-43.044384,671,52,86
9939,-22.329916,-43.04434,670,52,87
9940,-22.329964,-43.044285,670,51,88
9941,-22.330029,-43.04424,669,50,89
9942,-22.330082,-43.044197,668,49,90
9943,-22.330137,-43.04416,667,49,91
9944,-22.330181,-43.04413,667,48,92
9945,-22.330301,-43.04404,666,47,93
9946,-22.330387,-43.043995,664,46,94
9947,-22.330517,-43.043934,663,45,95
2361,-22.330399,-43.043823,687,50,96
9947,-22.330517,-43.043934,663,45,97
9948,-22.330662,-43.0439,662,44,98
9949,-22.330723,-43.04389,661,43,99
9950,-22.330782,-43.04385,660,43,100
9951,-22.330845,-43.04384,660,42,101
9952,-22.330883,-43.0439,659,42,102
9953,-22.330929,-43.043972,658,41,103
9954,-22.331009,-43.04404,657,40,104
9955,-22.331062,-43.04409,656,40,105
9956,-22.331139,-43.044147,655,40,106
9957,-22.331205,-43.04419,654,39,107
10040,-22.33125,-43.04434,696,66,108
9958,-22.331316,-43.04433,653,38,109
9959,-22.331318,-43.04436,652,38,110
9958,-22.331316,-43.04433,653,38,111
10041,-22.33135,-43.044273,696,65,112
10042,-22.331387,-43.044247,695,64,113
10043,-22.331438,-43.044212,695,63,114
